,Issue Number,Issue Title,Issue Label,Issue state,Issue Body,Issue Comments
95,657,Future Browser-Based Web Demo for Algorithms?,[],open,"Hi,

I was wondering if any of the maintainers have considered creating a webpage for all of the demos? I searched through the issues but didn't find anything related.

Personally I think if you have a web version of all demos it would be of great benefit for developers so they could test the algorithms directly in a browser and step through the code if desired. I'm aware that a developer can step through the code using a debugger with Node, however if there was a website it would lower the barrier since there is nothing to install. Additionally you could run Carbon ads or something which can help with sponsorship of this project.

Since modern browsers support `import` and other needed JS I would expect all or most algorithms to work out of the box for most browsers. I pulled a fork and create a small proof of concept to test.

**Three files added for Demo**
* `index.html`
* `favicon.ico`
* `server.js`

**Additional Changes**
* The demo shows `QuickSort` and `BubbleSort`; in order to work with GitHub Pages I modified 3 files to use full file name `import Sort from '../Sort.js';` instead of `import Sort from '../Sort';`

**Notes**
* This runs from GitHub pages simply by adding the `index.html` file (and optional `favicon.ico` file) and modifying needed JS files for full file name on import.
* The file `server.js` is a simple Node Web Server for sending static files using using only Node.js built-in features without any outside dependencies. If you have node you run the site locally using `node server.js`. I created the `server.js` for another project I maintain and made slight changes so it could handle `import '.../File'` for this project.

**Fork**
https://github.com/ConradSollitt/javascript-algorithms

**Demo**
https://conradsollitt.github.io/javascript-algorithms/
",[]
96,656,Hard to view some images or diagrams in GitHub's Dark Mode,[],open,"As I am using dark mode in GitHub, I came across at least a couple of diagrams that were not compatible with dark mode, making it difficult to understand the diagram or even see that the diagram is there in the first place.

Some examples are:

**Doubly Linked List**
![image](https://user-images.githubusercontent.com/42565209/108980710-ef942e00-76c6-11eb-8d2a-f496e58c9c9c.png)

**Hash Table**
![image](https://user-images.githubusercontent.com/42565209/108980758-fde24a00-76c6-11eb-86e0-a789599ec2e2.png)

I believe the problem is due to the images (or SVG file) here being transparent and it would most likely be fixed by adding a white background to the image. I have not checked all the files but there could be more of such images/diagrams.

Though it's a small issue, I just thought I could bring it up as I haven't seen anyone else report this issue.","['Hey there, I am interested in helping out with this issue. Where should i start?']"
97,655,Maybe there are some redundent code in Doubly-Linked-List,[],open,"```js
    reverse() {
        let node = this.head,
            previous = null,
            next = null;

        while (node) {
            next = node.next;
            console.log(previous?.value);
            previous = node.previous;
            console.log(previous?.value);
            node.next = previous;            
            node.previous = next;

            previous = node;
            node = next;
        }
        this.tail = this.head;
        this.head = previous;
        return this;
    }
```
I think the code `previous = node.previous;` in while loop is redundent code. I try this code and the previous.vaule always get a same value.",[]
98,650,improve simplified Chinese translation,[],open,"The old translation is a little difficult to understand.
And there are some mis about the Chinese punctuator.",[]
99,641,Fix for issue: Wrong array representation in Heap README.md #640,[],open,"I have fixed the [issue](https://github.com/trekhleb/javascript-algorithms/issues/640) regarding the array representation of HEAP. Kindly review. 
Thanks","['looks like they fixed it, see: https://upload.wikimedia.org/wikipedia/commons/3/38/Max-Heap.svg You can close this one :)']"
100,640,Wrong array representation in Heap README.md,[],open,"![image](https://user-images.githubusercontent.com/17434488/107847159-60933600-6de9-11eb-97db-7abca0a9793a.png)

in the array the node with value 3 has two children (2, 7), the correct parent of (2,7) should be 17 instead","['I would like to work on this issue. ', 'It is updated.', 'Is this issue still open?', 'this was fixed already at Wikipedia.']"
101,638,Update Graph.test.js,[],open,"Thanks for all the comprehensive tests!
I was doing TDD for these structures, found a missing part, added here.

To cover the below logic in `Graph class`

```javascript
  deleteEdge(edge) {
    // omit

    const start = this.getVertexByKey(edge.startVertex.getKey());
    const end = this.getVertexByKey(edge.endVertex.getKey());

    start.deleteEdge(edge);
    end.deleteEdge(edge);
  }
```",[]
102,626,add background color in markdown image using html,[],open,"add background color for images in the markdown file for better visibility while using dark mode. I added background color using html in readme.md of linked list, I will change remaining file upon your approval. 
Thanks,
Parthiban P

",[]
103,620,"Issue #314, removed the unnecessary temp variable in shellSort.js.",[],open,,"['hi\r\n', 'Hie\n\nOn Sun, Jan 10, 2021, 9:08 AM Nishi Agrawal <notifications@github.com>\nwrote:\n\n> hi\n>\n> —\n> You are receiving this because you are subscribed to this thread.\n> Reply to this email directly, view it on GitHub\n> <https://github.com/trekhleb/javascript-algorithms/pull/620#issuecomment-757428776>,\n> or unsubscribe\n> <https://github.com/notifications/unsubscribe-auth/ALVPVVKBH3AXHYCXGFVRSV3SZFHADANCNFSM4VPFWXEQ>\n> .\n>\n', 'Hi']"
104,619,Can we have a CONTRIBUTING GUIDELINES section in the readme of this repo? It would make it easier for the beginners to follow and contribute. ,[],open,,[]
105,616,Add Matrix Chain Multiplication in DP,[],open,"In the dynamic programming section, we could add the Matrix Chain Multiplication problem which is quite famous to find the most efficient way to multiply matrices together. The problem is not actually to perform the multiplications, but merely to decide in which order to perform the multiplications.
",[]
106,610,Optimize Insertion Sort,[],open,I optimized the Insertion Sort by replacing the Linear Search method with the Binary Search method. in this way we have much fewer comparisons therefore the performance of the algorithm enhances significantly for a large amount of data;,"[""That's great idea to move forward"", 'Merge to create new ways']"
107,609,Added Floyd's Tortoise and Hare algorithm,[],open,"I have added Floyd's cycle-finding algorithm, also known as the tortoise and the hare algorithm. It is used for finding a cycle in a linked list. I also wanted to add an image demonstrating the algorithm, but I couldn't find one.",[]
108,606,Add Tim Sort,[],open,I implemented the Tim Sort. I tried to keep it in the same fashion as other sorting algorithms as much as possible. I even used the source code of insertion sort in order to make the code better to understand. The reason I used the reference method for insertion sort and merging over allocating a new memory is nothing but optimization.,[]
109,605,Develop:  Add tim sort,[],open,I implemented the Tim Sort. I tried to keep it in the same fashion as other sorting algorithms as much as possible. I even used the source code of insertion sort in order to make the code better to understand. The reason I used the reference method for insertion sort and merging over allocating a new memory is nothing but optimization. ,[]
110,604,Add Bucket Sort,[],open,"bucket sort added.
test coverage: 100%","['Found a typo in README.md\r\ncomrator -> comparator', '> Found a typo in README.md\r\n> comrator -> comparator\r\n\r\nFixed! Thank you!']"
111,596,fix: implementing Pearson Hashing in Hash Table (#529),[],open,"ref #529

The test coverage failed because test case is not covering a local variable inside a function.
I am not sure if it is a good idea to test the line coverage in this case.
Any suggestion to fix this problem?",[]
112,593,Optimize Insertion Sort,[],open,,"[""I don't get the advantage of this change.\r\nYou can swap the elements when compare the elements, why go through the list again?"", ""> I don't get the advantage of this change.\r\n> You can swap the elements when compare the elements, why go through the list again?\r\n\r\nConsider we want to insert 5-th element (value = 2) in correct place in this list:\r\n**1**, **3**, **4**, **5**, **6**, _2_, 8, 9, 7 --> **1**, _2_, **3**, **4**, **5**, **6**, 8, 9, 7\r\n\r\nIn pervious algorithm, we had to swap 4 times, (6, 2) and (5, 2) and (4, 2) and (3, 2). Since each swap needs assignment 2 times as least, we'll have variable assignment 8 times in minimum. In general, if we need swaps k times, we'll have 2 * k assignments.\r\n\r\nBut in new algorithm in same condition, we shift 3, 4, 5 and 6 then insert 2 in correct index. then we'll have k + 2 assignments which is better than 2 * k"", ""> > I don't get the advantage of this change.\r\n> > You can swap the elements when compare the elements, why go through the list again?\r\n> \r\n> Consider we want to insert 5-th element (value = 2) in correct place in this list:\r\n> **1**, **3**, **4**, **5**, **6**, _2_, 8, 9, 7 --> **1**, _2_, **3**, **4**, **5**, **6**, 8, 9, 7\r\n> \r\n> In pervious algorithm, we had to swap 4 times, (6, 2) and (5, 2) and (4, 2) and (3, 2). Since each swap needs assignment 2 times as least, we'll have variable assignment 8 times in minimum. In general, if we need swaps k times, we'll have 2 * k assignments.\r\n> \r\n> But in new algorithm in same condition, we shift 3, 4, 5 and 6 then insert 2 in correct index. then we'll have k + 2 assignments which is better than 2 * k\r\n\r\n@AryanAhadinia  Thanks for your explaination. \r\nHow about this version to avoid the 2 * k assignments also avoid going through the k elements again?\r\n\r\n```\r\n  sort(originalArray) {\r\n    const array = [...originalArray];\r\n\r\n    // Go through all array elements...\r\n    for (let i = 0; i < array.length; i += 1) {\r\n      let currentIndex = i;\r\n      let tmp = array[i];\r\n\r\n      // Call visiting callback.\r\n      this.callbacks.visitingCallback(array[i]);\r\n\r\n      // Go and check if previous elements and greater then current one.\r\n      // If this is the case then swap that elements.\r\n      while (\r\n        currentIndex > 0\r\n        && this.comparator.lessThan(array[currentIndex], array[currentIndex - 1])\r\n      ) {\r\n        // Call visiting callback.\r\n        this.callbacks.visitingCallback(array[currentIndex - 1]);\r\n\r\n        // Swap the elements.\r\n        array[currentIndex] = array[currentIndex - 1];\r\n\r\n        // Shift current index left.\r\n        currentIndex -= 1;\r\n      }\r\n\r\n      array[currentIndex] = tmp;\r\n    }\r\n\r\n    return array;\r\n  }\r\n```"", ""Yes, it is correct I think, I'll work on this and I'll commit changes ASAP."", ""> > > I don't get the advantage of this change.\r\n> > > You can swap the elements when compare the elements, why go through the list again?\r\n> > \r\n> > \r\n> > Consider we want to insert 5-th element (value = 2) in correct place in this list:\r\n> > **1**, **3**, **4**, **5**, **6**, _2_, 8, 9, 7 --> **1**, _2_, **3**, **4**, **5**, **6**, 8, 9, 7\r\n> > In pervious algorithm, we had to swap 4 times, (6, 2) and (5, 2) and (4, 2) and (3, 2). Since each swap needs assignment 2 times as least, we'll have variable assignment 8 times in minimum. In general, if we need swaps k times, we'll have 2 * k assignments.\r\n> > But in new algorithm in same condition, we shift 3, 4, 5 and 6 then insert 2 in correct index. then we'll have k + 2 assignments which is better than 2 * k\r\n> \r\n> @AryanAhadinia Thanks for your explaination.\r\n> How about this version to avoid the 2 * k assignments also avoid going through the k elements again?\r\n> \r\n> ```\r\n>   sort(originalArray) {\r\n>     const array = [...originalArray];\r\n> \r\n>     // Go through all array elements...\r\n>     for (let i = 0; i < array.length; i += 1) {\r\n>       let currentIndex = i;\r\n>       let tmp = array[i];\r\n> \r\n>       // Call visiting callback.\r\n>       this.callbacks.visitingCallback(array[i]);\r\n> \r\n>       // Go and check if previous elements and greater then current one.\r\n>       // If this is the case then swap that elements.\r\n>       while (\r\n>         currentIndex > 0\r\n>         && this.comparator.lessThan(array[currentIndex], array[currentIndex - 1])\r\n>       ) {\r\n>         // Call visiting callback.\r\n>         this.callbacks.visitingCallback(array[currentIndex - 1]);\r\n> \r\n>         // Swap the elements.\r\n>         array[currentIndex] = array[currentIndex - 1];\r\n> \r\n>         // Shift current index left.\r\n>         currentIndex -= 1;\r\n>       }\r\n> \r\n>       array[currentIndex] = tmp;\r\n>     }\r\n> \r\n>     return array;\r\n>   }\r\n> ```\r\n\r\nActually, there is a little mistake in this code, I'll correct this and commit in few seconds."", 'Now it is optimized!']"
113,591,added the condition to handle negative integers for fastPowering algorithm.,[],open,"Issue:

Error:RangeError: Maximum call stack size exceeded #590

I have edited the fastpowering algorithm to handle negative integers and the test file to check the negative integers condition.","['How about checking for power equals 1, \r\nthis can avoid from calculate fastPowering(base, 1) = fastPowering(base, 0) * fastPowering(base, 0) * base everytimes.\r\n\r\n```\r\nif (power === 0) {\r\n  // Anything that is raised to the power of zero is 1.\r\n  return 1;\r\n}\r\n\r\nif (power === 1) {\r\n  return base;\r\n}\r\n\r\n.\r\n.\r\n.\r\n\r\n```']"
114,590,Error:RangeError: Maximum call stack size exceeded,[],open,"Issue of the description:

When using negative integers for base and power getting the below error:

**RangeError: Maximum call stack size exceeded**
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:17:23)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)
    at fastPowering (C:\Users\techn\Music\react-interview\testapp\app.js:34:22)

fastPowering(5,-5);
fastPowering(-5,5);

`https://github.com/trekhleb/javascript-algorithms/blob/master/src/algorithms/math/fast-powering/fastPowering.js`

It can be resolved by adding the below if statement to the code.

` if(power<0){
      power=power*-1;
      base=1/base;
     // console.log(base);
      fastPowering(base,power);
  }`

Can I open a pull request to work on this?
",[]
115,589,Adding of a method that get the successor of a node inside the birany search tree,[],open,"I have added one file to your repository, this file contains a function which take a number and returns the power of two which is directly greater than the given number. I have also added a test file and a README file.","['# [Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589?src=pr&el=h1) Report\n> Merging [#589](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589?src=pr&el=desc) (4917139) into [master](https://codecov.io/gh/trekhleb/javascript-algorithms/commit/1b0e27ab86dbae97b99620db3ecacffafd17d98a?el=desc) (1b0e27a) will **not change** coverage.\n> The diff coverage is `100.00%`.\n\n[![Impacted file tree graph](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589/graphs/tree.svg?width=650&height=150&src=pr&token=2jOOUBhvZL)](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589?src=pr&el=tree)\n\n```diff\n@@            Coverage Diff            @@\n##            master      #589   +/-   ##\n=========================================\n  Coverage   100.00%   100.00%           \n=========================================\n  Files          153       154    +1     \n  Lines         2645      2649    +4     \n  Branches       438       439    +1     \n=========================================\n+ Hits          2645      2649    +4     \n```\n\n\n| [Impacted Files](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589?src=pr&el=tree) | Coverage Δ | |\n|---|---|---|\n| [...greater-than-number/powerOfTwoGreaterThanNumber.js](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589/diff?src=pr&el=tree#diff-c3JjL2FsZ29yaXRobXMvbWF0aC9wb3dlci1vZi10d28tZ3JlYXRlci10aGFuLW51bWJlci9wb3dlck9mVHdvR3JlYXRlclRoYW5OdW1iZXIuanM=) | `100.00% <100.00%> (ø)` | |\n\n------\n\n[Continue to review full report at Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589?src=pr&el=continue).\n> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)\n> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`\n> Powered by [Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589?src=pr&el=footer). Last update [1b0e27a...4917139](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/589?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).\n', 'How can I complete my checks ?, I remark that I need to do the **continuous integration** but how can I do it ?\r\nThanks', 'To be honest, this looks more like basic logarithm operations for a math class and less like a CS algorithm for this repo. Maybe if the code found the first `1` in the binary representation and cleared bits on the right?', 'For you I should not use the logarithm operation ? because this looks more like the math class ? ', 'I\'m not commenting on the code itself, I\'m commenting on its inclusion in the project which has the usual bunch of CS algorithms. Calculating the ""next power of two"" is just applying the well-known logarithm function. In my opinion, it doesn\'t fit here. But I\'m not the maintainer, just giving my two cents.', 'Ok. I understand that you say. But I wanted to do it because I have another contribution for this repository and which use it, then I have seen better to separate it.\r\n\r\nThis is my first pull request. I am a beginner, I would like to learn about git GitHub and JavaScript.']"
116,583,Linked List: Define a Cycle,[],open,"With the current Linked List implementation, is there a way to create a cycle?  Meaning, if I have Linked List Nodes
```
[ 1, 9, 87, 5, 22]
```
can I reference the node at position 2 (value=87) with the tail node's (value-22) `next` property to create a cycle?
  ","[""That'd be a graph.""]"
117,568,Linear Search Fix,[],open,Fixes Linear search by adding for loop rather than a forEach,"['I can help with this issue.', 'Can I work on this issue?\r\n', 'I have already added a PR for the same please check.', 'I can resolve this issue at a faster pace & with a better approch', '> I have already added a PR for the same please check.\n\nIf you have this robot or software, please send it to me. This is my WhatsApp number 09050648468', '> I can resolve this issue at a faster pace & with a better approch\n\nPlease send it to me anyway on WhatsApp 09050648468', '> I can help with this issue.\n\nPlease help me and make this for me for free', 'Are you lost?', 'Hey, is this issue still open? I would like to work on it.']"
118,567,Optimize insertion sort,[],open,,"[""I'm currently working on this."", 'PR #593 has some optimizations.']"
119,566,Add MiniMax ,[],open,,"['Hey, @Kachhadiyn Can you provide more description about problem??', 'I think @Kachhadiyn means the Tic Tac Toe algorithm.', ""I've never seen it called Tic Tac Toe algorithm. https://en.wikipedia.org/wiki/Minimax"", 'Let me say it another way then: the algorithm used in Tic Tac Toe.\r\nhttps://www.geeksforgeeks.org/minimax-algorithm-in-game-theory-set-3-tic-tac-toe-ai-finding-optimal-move/', ""Sure, _this specific article you found online_ uses a game of Tic Tac Toe as an example game for the Minimax. Apart from Minimax being a basic algorithm from game theory and Tic Tac Toe being a basic example of a well-known two-player game, there's no link between two algorithms, neither historically (that I'm aware of) nor conceptually. “The algorithm used in Tic Tac Toe” sounds as if the game of Tic Tac Toe (i.e. its ruleset) is somehow tied to the Minimax algorithm, which is not the case."", 'Hi, we are four students working on this issue as part of a course in software development.']"
120,565,Optimised insertionsort by removing a check,[],open,Closes #564 ,"['# [Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/565?src=pr&el=h1) Report\n> Merging [#565](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/565?src=pr&el=desc) into [master](https://codecov.io/gh/trekhleb/javascript-algorithms/commit/477f30b0bdac6024874d2976de1eca7afe0176dd?el=desc) will **not change** coverage.\n> The diff coverage is `n/a`.\n\n[![Impacted file tree graph](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/565/graphs/tree.svg?width=650&height=150&src=pr&token=2jOOUBhvZL)](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/565?src=pr&el=tree)\n\n```diff\n@@            Coverage Diff            @@\n##            master      #565   +/-   ##\n=========================================\n  Coverage   100.00%   100.00%           \n=========================================\n  Files          150       150           \n  Lines         2627      2627           \n  Branches       439       439           \n=========================================\n  Hits          2627      2627           \n```\n\n\n\n------\n\n[Continue to review full report at Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/565?src=pr&el=continue).\n> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)\n> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`\n> Powered by [Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/565?src=pr&el=footer). Last update [477f30b...4576259](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/565?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).\n']"
121,564,Fix Typo in BFS Test,[],open,Fixes typo in test case file,[]
122,561,Fix RedBlackTree rotations,[],open,"leftRightRotation and rightLeftRotation didn't work correctly, so I had some sudden errors afterwards. I found the problem and wrote fixes, tests and comments.
You can better understand what the problem is on this picture (leftRightRotation): ![leftRightRotation](https://user-images.githubusercontent.com/61697000/95685552-36debe00-0c01-11eb-808a-79673f3c5c28.png).
For rightLeftRotation it is similar.

Thank you a lot for this cool repo :)","['# [Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561?src=pr&el=h1) Report\n> Merging [#561](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561?src=pr&el=desc) into [master](https://codecov.io/gh/trekhleb/javascript-algorithms/commit/477f30b0bdac6024874d2976de1eca7afe0176dd?el=desc) will **not change** coverage.\n> The diff coverage is `100.00%`.\n\n[![Impacted file tree graph](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561/graphs/tree.svg?width=650&height=150&src=pr&token=2jOOUBhvZL)](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561?src=pr&el=tree)\n\n```diff\n@@            Coverage Diff            @@\n##            master      #561   +/-   ##\n=========================================\n  Coverage   100.00%   100.00%           \n=========================================\n  Files          150       150           \n  Lines         2627      2629    +2     \n  Branches       439       439           \n=========================================\n+ Hits          2627      2629    +2     \n```\n\n\n| [Impacted Files](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561?src=pr&el=tree) | Coverage Δ | |\n|---|---|---|\n| [...ata-structures/tree/red-black-tree/RedBlackTree.js](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561/diff?src=pr&el=tree#diff-c3JjL2RhdGEtc3RydWN0dXJlcy90cmVlL3JlZC1ibGFjay10cmVlL1JlZEJsYWNrVHJlZS5qcw==) | `100.00% <100.00%> (ø)` | |\n\n------\n\n[Continue to review full report at Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561?src=pr&el=continue).\n> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)\n> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`\n> Powered by [Codecov](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561?src=pr&el=footer). Last update [477f30b...1196f9b](https://codecov.io/gh/trekhleb/javascript-algorithms/pull/561?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).\n']"
123,560,How can I use this lib with npm or yarn?,[],open,"npm link
https://www.npmjs.com/package/javascript-algorithms-and-data-structures

I add this lib with yarn
```
yarn add javascript-algorithms-and-data-structures
```
But I can't use import or require  this lib

o(╥﹏╥)o","[""@ahaoboy What did you want to import this lib for? The documentation states clearly:\r\n\r\n>  Note that this project is meant to be used for learning and researching purposes only and it is not meant to be used for production.\r\n\r\nSo I don't think there is a point in making this package importable/requirable since it's not supposed to be used as a project dependency. Just clone the repository and have some fun :) "", ""> @ahaoboy What did you want to import this lib for? The documentation states clearly:\r\n> \r\n> > Note that this project is meant to be used for learning and researching purposes only and it is not meant to be used for production.\r\n> \r\n> So I don't think there is a point in making this package importable/requirable since it's not supposed to be used as a project dependency. Just clone the repository and have some fun :)\r\n\r\nJust exactly what I wanted to say"", '> npm 链接 https://www.npmjs.com/package/javascript-algorithms-and-data-structures\r\n> \r\n> 我用纱线添加这个库\r\n> \r\n> ```\r\n> yarn add javascript-algorithms-and-data-structures\r\n> ```\r\n> \r\n> 但我不能使用导入或需要这个库\r\n> \r\n> o(╥﹏╥)o\r\n\r\nThis library may help you. https://github.com/ZLY201/js-sdsl']"
124,559,Add function to insert a node at a given index in a linked list,[],open,,[]
125,556,Armstrong Number added,[],open,,[]
126,555,Stable Matching Algorithm,[],open,Add the script for the Gale-Shapley Stable Matching Algorithm.,"['> Add the script for the Gale-Shapley Stable Matching Algorithm.\r\n\r\n#include <stdio.h>\r\n#define SINGLE 0\r\nint main() {\r\n    int t, n;\r\n    scanf(""%d"", &t);                           // number of test cases\r\n    while(t--) {\r\n        scanf(""%d"", &n);\r\n        int mList[n+1][n+1];                   // men\'s preference list\r\n        int wList[n+1][n+1];                   // women\'s preference list\r\n        int manCurrentMatch[n+1];              // current match of men\r\n        int womanCurrentMatch[n+1];            // current match of men\r\n        int manNextProposal[n+1];              // each man will propose this indexed woman in his preference list\r\n\r\n        //taking inputs...\r\n        for (int i = 1; i <= n; i++) {         // for each woman\r\n            womanCurrentMatch[i] = SINGLE;     // set her to be single\r\n            for(int j = 0; j <= n; j++) {\r\n                scanf(""%d"", &wList[i][j]);\r\n            }\r\n        }\r\n\r\n        for (int i = 1; i <= n; i++) {         // for each man\r\n            manCurrentMatch[i] = SINGLE;       // set him to be single\r\n            manNextProposal[i] = 1;            // each man will start by proposing 1st woman in his list\r\n            for(int j = 0; j <= n; j++) {\r\n                scanf(""%d"", &mList[i][j]);\r\n            }\r\n        }\r\n\r\n        //algorithm...\r\n        bool freeManAvailable = true;           // at begining we have free man available\r\n        int m = 1;                              // taking the first man as free for first iteration\r\n        while(freeManAvailable) {\r\n            freeManAvailable = false;\r\n            int w = mList[m][manNextProposal[m]++];  // the woman man proposes\r\n            if(womanCurrentMatch[w] == SINGLE) {\r\n                //w is currently free, engage (m and w)...\r\n                womanCurrentMatch[w] = m;\r\n                manCurrentMatch[m] = w;\r\n            } else {\r\n                //w is engaged...\r\n                bool itsABetterProposal = false;     // check if it\'s a better proposal\r\n                //check her preference list\r\n                for(int y = 1; y <= n; y++) {\r\n                    if(wList[w][y] == womanCurrentMatch[w]) {\r\n                        itsABetterProposal = false; break;\r\n                    }\r\n                    if(wList[w][y] == m) {\r\n                        itsABetterProposal = true; break;\r\n                    }\r\n                }\r\n                if(itsABetterProposal) {\r\n                    // if a better proposal, then engage (m and w), and set w\'s previous partner as free...\r\n                    manCurrentMatch[womanCurrentMatch[w]] = SINGLE;\r\n                    womanCurrentMatch[w] = m;\r\n                    manCurrentMatch[m] = w;\r\n                }\r\n            }\r\n\r\n            //finding a new free man...\r\n            for(int x = 1; x <= n; x++) {\r\n                if(manCurrentMatch[x] == SINGLE) {\r\n                    m = x;\r\n                    freeManAvailable = true;\r\n                    break;\r\n                }\r\n            }\r\n        }\r\n\r\n        //show output...\r\n        for(int i = 1; i <= n;  i++) {\r\n            printf(""%d %d\\n"", i, manCurrentMatch[i]);\r\n        }\r\n    }\r\n\r\n    return 0;\r\n}']"
127,554, a * search algorithm added,[],open,Added Solution to #550 Add A Star Algorithm.,[]
128,550,Add A star algorithm ,[],open,"In the graphs algorithm, we could add A star searching algorithm.",[]
129,546,More detailed instructions on how to run the code for beginners,[],open,"Hi 

I think there should a sample snippet in **playground.js**  to show how  to run the scripts.

i am running it like this
```javascript
// Place your playground code here.

import BubbleSort from ""../algorithms/sorting/bubble-sort/BubbleSort""

const b = new BubbleSort()
const r = b.sort([99, 9, 999])
console.log(r)

```
& 
```
node --es-module-specifier-resolution=node playground/playground.js
```

my node version v14.12.0

Pls, let me if this is the right way to test out the scripts in playgroud.

If yes I would also like to update the README.md to mention the same.

Pls let me know your thoughts 

Thanks

 ","['can run on chrome? why no html files? i develop for long itme, but i still avoiding the node. whats node? where the hell is that comand line console i use to see mentioned frequently?  there is no other way??? is that open sourced? ']"
130,545,finish,[],open,,['Why did you remove the hooks?']
131,544,"Code misbehavior(mild) : LinkedList.append(), according to code, should add to tail, but actually append to head",[],open,"# How to recreate the problem
1. Copy the LinkedList.js, LinkedListNode.js, Comparator.js code to the console of Chrome DevTool
    - Add ```console.log``` to the ```append()``` method.
2. Add test code
```javascript

let a = new LinkedList();
a.append(5)
a.append(7)
// In the ```append``` method, it was ```this.tail = newNode```, but in chrome console, 
// it can be observed that it was added to **head**.

// If I changed the ```this.tail = newNode``` to ```this.head = newNode```, it appended to the **tail**

// If I add some ```console.log``` in the ```append``` method,
// it could be observed that the class instance is already been changed
//  before the ```console.log``` was reached(applies even when ```console.log``` is at the start of the ```method```.
```

# Intention
- As a beginner, I just want to know why it happened, as far as I know about 'If it is not broke, don't fix it.', I am still interested in what actually happened in JavaScript.
- My instinct told me it maybe has something to do with mutability, but I am not sure what exactly it is. 
# Source
- [Code](https://github.com/trekhleb/javascript-algorithms/blob/master/src/data-structures/linked-list/LinkedList.js)
    - Line 51 and Line 52
- [Code](https://github.com/trekhleb/javascript-algorithms/blob/master/src/data-structures/linked-list/LinkedListNode.js)
- [Comparator Code](https://github.com/trekhleb/javascript-algorithms/blob/07bc4a4b975d7069a69421e7e6ad256ba76b721c/src/utils/comparator/Comparator.js#L1)","[""@zhutoutoutousan sir apologies but i see it correct. once the line a.append(5) gets executed there is nothing in the linkedList so the '5' becomes the head value and then the 7 will be appended so added to the next node's value.\r\n\r\nsee below image, the head has value of 5\r\n\r\n![image](https://user-images.githubusercontent.com/26604711/174726116-e2c0a305-5ffc-4579-91ff-690313ee6a18.png)\r\n\r\njust wanted to understand your view point, may be there is some bug that I am not observing. let me know. I would be very much interested in this""]"
